094/12,88.51
094/11,88.71
094/10,90.07
094/09,90.14
094/08,90.01
094/07,89.35
094/06,88.32
094/05,88.04
094/04,87.56
094/03,87.12
094/02,86.87
094/01,86.3
093/12,86.6
093/11,86.54
093/10,87.66
093/09,87.38
093/08,86.91
093/07,87.25
093/06,86.26
093/05,86.06
093/04,86.14
093/03,85.16
093/02,85.22
093/01,85.88
092/12,85.22
092/11,85.24
092/10,85.62
092/09,85.01
092/08,84.75
092/07,84.44
092/06,84.79
092/05,85.28
092/04,85.33
092/03,84.41
092/02,84.68
092/01,85.87
091/12,85.27
091/11,85.64
091/10,85.67
091/09,85.19
091/08,85.25
091/07,85.28
091/06,85.27
091/05,85.01
091/04,85.43
091/03,84.56
091/02,85.98
091/01,84.95
090/12,84.62
090/11,86.12
090/10,87.15
090/09,85.85
090/08,85.48
090/07,84.92
090/06,85.18
090/05,85.23
090/04,85.25
090/03,84.55
090/02,84.78
090/01,86.4
089/12,86.07
089/11,87.11
089/10,86.31
089/09,86.29
089/08,85.1
089/07,84.84
089/06,85.3
089/05,85.42
089/04,84.89
089/03,84.19
089/02,85.66
089/01,84.41
088/12,84.68
088/11,85.19
088/10,85.44
088/09,84.91
088/08,84.87
088/07,83.63
088/06,84.16
088/05,84.08
088/04,83.85
088/03,83.26
088/02,84.88
088/01,83.98
087/12,84.55
087/11,85.96
087/10,85.09
087/09,84.42
087/08,83.91
087/07,84.32
087/06,84.88
087/05,83.67
087/04,83.93
087/03,83.65
087/02,83.13
087/01,83.65
086/12,82.8
086/11,82.73
086/10,82.95
086/09,84.08
086/08,83.53
086/07,83.62
086/06,83.67
086/05,82.3
086/04,82.19
086/03,81.63
086/02,82.89
086/01,82.01
085/12,82.58
085/11,83.16
085/10,83.22
085/09,83.55
085/08,84.02
085/07,80.94
085/06,82.16
085/05,81.68
085/04,81.78
085/03,80.75
085/02,81.22
085/01,80.42
084/12,80.55
084/11,80.58
084/10,80.26
084/09,80.46
084/08,79.98
084/07,79.78
084/06,80.25
084/05,79.39
084/04,79.54
084/03,78.39
084/02,78.28
084/01,78.62
083/12,77.03
083/11,77.31
083/10,78.02
083/09,78.88
083/08,78.64
083/07,76.83
083/06,76.67
083/05,76.86
083/04,76.16
083/03,75.47
083/02,75.68
083/01,74.71
082/12,75.04
082/11,74.42
082/10,74.26
082/09,73.93
082/08,73.46
082/07,73.77
082/06,75.07
082/05,73.64
082/04,73.89
082/03,73.05
082/02,72.82
082/01,72.6
081/12,71.72
081/11,72.19
081/10,73.36
081/09,73.39
081/08,71.1
081/07,71.42
081/06,71.94
081/05,72.14
081/04,71.9
081/03,70.75
081/02,70.66
081/01,70.04
080/12,69.35
080/11,70.02
080/10,69.81
080/09,69.13
080/08,69.03
080/07,68.87
080/06,68.4
080/05,68.24
080/04,68.01
080/03,67.57
080/02,67.9
080/01,67.5
079/12,66.76
079/11,66.81
079/10,68.12
079/09,69.62
079/08,67.29
079/07,66.19
079/06,65.75
